,_id,title,link,image_link
44,7469278167234,Dazoye (Navy),https://double-woot.com/products/03179-2-navy,https://cdn.shopify.com/s/files/1/0618/2548/2946/products/0117033_dazoye-navy.jpg?v=1663405923
45,7469279019202,Dixzer Jacket (Pale Blue),https://double-woot.com/products/03235-jacket-pale-blue,https://cdn.shopify.com/s/files/1/0618/2548/2946/products/0117636_dixzer-jacket-pale-blue.jpg?v=1658943615
46,7469279084738,Dixzer Jacket (Pale Pink),https://double-woot.com/products/03235-jacket-pale-pink,https://cdn.shopify.com/s/files/1/0618/2548/2946/products/0117646_dixzer-jacket-pale-pink.jpg?v=1658943616
47,7469279903938,Dehiltix Top (Black),https://double-woot.com/products/032-black,https://cdn.shopify.com/s/files/1/0618/2548/2946/products/0080976_dehiltix-top-black.jpg?v=1658943629
48,7469280100546,Dimiegur Top (Peach Nude),https://double-woot.com/products/03322-peach-nude,https://cdn.shopify.com/s/files/1/0618/2548/2946/products/0117673_dimiegur-top-peach-nude.jpg?v=1658943630
49,7469280362690,New Dazhost (Black),https://double-woot.com/products/03335-b-black,https://cdn.shopify.com/s/files/1/0618/2548/2946/products/0070402_new-dazhost-black.jpg?v=1658943634
50,7469280395458,Duxca Top (Mauve),https://double-woot.com/products/03350-top-mauve,https://cdn.shopify.com/s/files/1/0618/2548/2946/products/0093101_duxca-top-mauve.jpg?v=1658943634
51,7469279379650,Dineavu (Pale Green),https://double-woot.com/products/03289-pale-green,https://cdn.shopify.com/s/files/1/0618/2548/2946/products/0067791_dineavu-pale-green.jpg?v=1658943621
52,7469279576258,Dehiltix Top (Brown),https://double-woot.com/products/032-brown,https://cdn.shopify.com/s/files/1/0618/2548/2946/products/0080989_dehiltix-top-brown.jpg?v=1658943622
53,7469280526530,New Dazhost (Mustard),https://double-woot.com/products/03335-b-tangerine,https://cdn.shopify.com/s/files/1/0618/2548/2946/products/0070394_new-dazhost-mustard.jpg?v=1658943637
54,7469281149122,Dofriaz Coat (Powder Blue),https://double-woot.com/products/03371-coat-powder-blue-measurement-taken,https://cdn.shopify.com/s/files/1/0618/2548/2946/products/0071118_dofriaz-coat-powder-blue.jpg?v=1658943643
