productId,title,url,image,description,category,currency,originalPrice,price,availability,condition,custom_label_brand
400050000075,Mận Hậu Ruby Sơn La (Đặc Biệt) - Đặc Sản Sơn La,https://foodmap.asia/product/man-hau-ruby-son-la-dac-biet-dac-san-son-la,https://food-map.s3.amazonaws.com/PRODUCT/400050000075_001.jpg,,Trái cây tươi ngon,VND,575000,575000,available,new,FOODMAP FRUITS
400050000076,"Vải Thiều Chín Mọng, Ngọt Lịm - Đặc Sản Ngon Lành",https://foodmap.asia/product/vai-thieu-chin-mong-ngot-lim-dac-san-ngon-lanh,,,Trái cây tươi ngon,VND,95000,69000,available,new,Đặc Sản Ngon Lành
400050000077,"Vải Thiều Lục Ngạn Chín Mọng, Ngọt Lịm - Đặc Sản Ngon Lành",https://foodmap.asia/product/vai-thieu-luc-ngan-chin-mong-ngot-lim-chum-dac-san-ngon-lanh,https://food-map.s3.amazonaws.com/PRODUCT/400050000077_001.jpg,0,Trái cây tươi ngon,VND,150000,119000,available,new,FOODMAP FRUITS
400050000079,Mận Hậu Sơn La - Đặc Sản Sơn La,https://foodmap.asia/product/man-hau-son-la-dac-san-ngon-lanh,,,Trái cây tươi ngon,VND,162500,162500,available,new,Đặc Sản Sơn La
400050000078,Mận Hậu Sơn La - Đặc Sản Sơn La,https://foodmap.asia/product/man-hau-son-la-dac-san-ngon-lanh,,,Trái cây tươi ngon,VND,65000,65000,available,new,Đặc Sản Sơn La
400010000179,Xà Lách Mỡ Đà Lạt - S-ECO,https://foodmap.asia/product/xa-lach-mo-da-lat-s-eco,,,Đặc sản vùng miền,VND,1,1,available,new,S-ECO
400070000111,Nấm Mối Tự Nhiên Tươi (Nở) - Nấm Xanh,https://foodmap.asia/product/nam-moi-tu-nhien-tuoi-no-nam-xanh,,,Nấm,VND,700000,700000,available,new,Nấm Xanh
400010000202,Bí Ngòi Vàng Đà Lạt - S-ECO,https://foodmap.asia/product/bi-ngoi-vang-da-lat-s-eco,,,Đặc sản vùng miền,VND,1,1,available,new,S-ECO
400010000201,Bí Ngòi Xanh Đà Lạt - S-ECO,https://foodmap.asia/product/bi-ngoi-xanh-da-lat-s-eco,,,Đặc sản vùng miền,VND,1,1,available,new,S-ECO
400010000200,Bí Nhật Mini Đà Lạt - S-ECO,https://foodmap.asia/product/bi-nhat-mini-da-lat-s-eco,,,Đặc sản vùng miền,VND,1,1,available,new,S-ECO
400010000221,Bí Nụ Đà Lạt - S-ECO,https://foodmap.asia/product/bi-nu-da-lat-s-eco,,,Đặc sản vùng miền,VND,1,1,available,new,S-ECO
400010000199,Bí Đỏ Nhật Đà Lạt - S-ECO,https://foodmap.asia/product/bi-do-nhat-da-lat-s-eco,,,Đặc sản vùng miền,VND,1,1,available,new,S-ECO
400010000198,Bí Đỏ Non Đà Lạt - S-ECO,https://foodmap.asia/product/bi-do-non-da-lat-s-eco,,,Đặc sản vùng miền,VND,1,1,available,new,S-ECO
400010000222,Bông Atisô Đà Lạt - S-ECO,https://foodmap.asia/product/bong-atiso-da-lat-s-eco,,,Đặc sản vùng miền,VND,1,1,available,new,S-ECO
400010000240,Bơ 034 Đà Lạt - S-ECO,https://foodmap.asia/product/bo-034-da-lat-s-eco,,,Trái cây tươi ngon,VND,1,1,available,new,S-ECO
400010000226,Bắp Cải Hỏa Tiển Đà Lạt - S-ECO,https://foodmap.asia/product/bap-cai-hoa-tien-da-lat-s-eco,,,Đặc sản vùng miền,VND,1,1,available,new,S-ECO
400010000225,Bắp Cải Tròn Đà Lạt - S-ECO,https://foodmap.asia/product/bap-cai-tron-da-lat-s-eco,,,Đặc sản vùng miền,VND,1,1,available,new,S-ECO
400010000223,Bắp Sú Trái Tim Đà Lạt - S-ECO,https://foodmap.asia/product/bap-su-trai-tim-da-lat-s-eco,,0,Đặc sản vùng miền,VND,1,1,available,new,S-ECO
